image,class
v_BoxingSpeedBag_g09_c05.avi_frame12.jpg,BoxingSpeedBag
v_MoppingFloor_g09_c04.avi_frame10.jpg,MoppingFloor
v_HeadMassage_g21_c03.avi_frame3.jpg,HeadMassage
v_Knitting_g23_c03.avi_frame3.jpg,Knitting
v_Kayaking_g20_c05.avi_frame4.jpg,Kayaking
v_Knitting_g20_c01.avi_frame3.jpg,Knitting
v_PlayingTabla_g25_c03.avi_frame3.jpg,PlayingTabla
v_SkyDiving_g16_c03.avi_frame4.jpg,SkyDiving
v_MilitaryParade_g14_c05.avi_frame2.jpg,MilitaryParade
v_FrontCrawl_g09_c04.avi_frame0.jpg,FrontCrawl
v_SalsaSpin_g12_c06.avi_frame1.jpg,SalsaSpin
v_RockClimbingIndoor_g08_c03.avi_frame1.jpg,RockClimbingIndoor
v_PlayingDaf_g09_c05.avi_frame13.jpg,PlayingDaf
v_BandMarching_g10_c01.avi_frame4.jpg,BandMarching
v_HandStandPushups_g14_c02.avi_frame1.jpg,HandStandPushups
v_Bowling_g08_c06.avi_frame6.jpg,Bowling
v_CleanAndJerk_g19_c03.avi_frame9.jpg,CleanAndJerk
v_BabyCrawling_g22_c01.avi_frame4.jpg,BabyCrawling
v_Hammering_g24_c01.avi_frame1.jpg,Hammering
v_Fencing_g25_c04.avi_frame3.jpg,Fencing
v_Rafting_g12_c02.avi_frame3.jpg,Rafting
v_SoccerJuggling_g19_c03.avi_frame4.jpg,SoccerJuggling
v_Punch_g09_c05.avi_frame9.jpg,Punch
v_VolleyballSpiking_g16_c04.avi_frame6.jpg,VolleyballSpiking
v_Rowing_g08_c04.avi_frame3.jpg,Rowing
v_PlayingFlute_g08_c04.avi_frame7.jpg,PlayingFlute
v_Punch_g08_c02.avi_frame1.jpg,Punch
v_BlowDryHair_g12_c03.avi_frame15.jpg,BlowDryHair
v_Rowing_g23_c01.avi_frame7.jpg,Rowing
v_PoleVault_g11_c01.avi_frame4.jpg,PoleVault
v_Kayaking_g09_c01.avi_frame6.jpg,Kayaking
v_RopeClimbing_g15_c05.avi_frame9.jpg,RopeClimbing
v_PlayingSitar_g22_c01.avi_frame6.jpg,PlayingSitar
v_FieldHockeyPenalty_g08_c03.avi_frame1.jpg,FieldHockeyPenalty
v_RockClimbingIndoor_g19_c01.avi_frame17.jpg,RockClimbingIndoor
v_Nunchucks_g09_c02.avi_frame1.jpg,Nunchucks
v_RockClimbingIndoor_g10_c05.avi_frame0.jpg,RockClimbingIndoor
v_ApplyEyeMakeup_g16_c01.avi_frame4.jpg,ApplyEyeMakeup
v_Haircut_g24_c03.avi_frame6.jpg,Haircut
v_GolfSwing_g22_c01.avi_frame6.jpg,GolfSwing
v_StillRings_g18_c04.avi_frame2.jpg,StillRings
v_BabyCrawling_g20_c04.avi_frame5.jpg,BabyCrawling
v_Punch_g22_c07.avi_frame11.jpg,Punch
v_WallPushups_g25_c05.avi_frame0.jpg,WallPushups
v_Shotput_g10_c06.avi_frame0.jpg,Shotput
v_SumoWrestling_g21_c01.avi_frame2.jpg,SumoWrestling
v_Swing_g18_c01.avi_frame12.jpg,Swing
v_BoxingSpeedBag_g15_c05.avi_frame2.jpg,BoxingSpeedBag
v_RopeClimbing_g15_c05.avi_frame6.jpg,RopeClimbing
v_PlayingPiano_g12_c03.avi_frame5.jpg,PlayingPiano
v_TennisSwing_g18_c04.avi_frame1.jpg,TennisSwing
v_Drumming_g11_c03.avi_frame10.jpg,Drumming
v_WritingOnBoard_g24_c07.avi_frame5.jpg,WritingOnBoard
v_HandStandPushups_g23_c03.avi_frame0.jpg,HandStandPushups
v_SalsaSpin_g22_c02.avi_frame9.jpg,SalsaSpin
v_SoccerPenalty_g09_c01.avi_frame1.jpg,SoccerPenalty
v_Punch_g23_c02.avi_frame6.jpg,Punch
v_HammerThrow_g08_c04.avi_frame2.jpg,HammerThrow
v_Bowling_g17_c06.avi_frame3.jpg,Bowling
v_TrampolineJumping_g25_c01.avi_frame3.jpg,TrampolineJumping
v_JumpingJack_g17_c03.avi_frame1.jpg,JumpingJack
v_CleanAndJerk_g19_c03.avi_frame0.jpg,CleanAndJerk
v_PlayingSitar_g23_c06.avi_frame0.jpg,PlayingSitar
v_Typing_g09_c04.avi_frame7.jpg,Typing
v_TrampolineJumping_g19_c01.avi_frame3.jpg,TrampolineJumping
v_PlayingFlute_g18_c01.avi_frame0.jpg,PlayingFlute
v_BenchPress_g17_c05.avi_frame3.jpg,BenchPress
v_BoxingPunchingBag_g09_c07.avi_frame3.jpg,BoxingPunchingBag
v_Skiing_g12_c01.avi_frame11.jpg,Skiing
v_BodyWeightSquats_g25_c07.avi_frame2.jpg,BodyWeightSquats
v_Punch_g13_c05.avi_frame7.jpg,Punch
v_Punch_g24_c02.avi_frame4.jpg,Punch
v_PlayingDaf_g08_c01.avi_frame1.jpg,PlayingDaf
v_CricketBowling_g16_c05.avi_frame3.jpg,CricketBowling
v_Punch_g21_c02.avi_frame9.jpg,Punch
v_Knitting_g08_c04.avi_frame0.jpg,Knitting
v_Surfing_g20_c04.avi_frame9.jpg,Surfing
v_JumpRope_g20_c04.avi_frame10.jpg,JumpRope
v_Nunchucks_g16_c04.avi_frame7.jpg,Nunchucks
v_CricketBowling_g10_c03.avi_frame0.jpg,CricketBowling
v_PommelHorse_g12_c06.avi_frame3.jpg,PommelHorse
v_TennisSwing_g11_c05.avi_frame6.jpg,TennisSwing
v_PlayingSitar_g08_c05.avi_frame17.jpg,PlayingSitar
v_IceDancing_g24_c04.avi_frame0.jpg,IceDancing
v_PlayingTabla_g17_c02.avi_frame8.jpg,PlayingTabla
v_WritingOnBoard_g13_c06.avi_frame3.jpg,WritingOnBoard
v_Billiards_g17_c01.avi_frame10.jpg,Billiards
v_PlayingPiano_g12_c04.avi_frame5.jpg,PlayingPiano
v_Lunges_g11_c03.avi_frame5.jpg,Lunges
v_ApplyEyeMakeup_g10_c01.avi_frame4.jpg,ApplyEyeMakeup
v_WalkingWithDog_g10_c03.avi_frame3.jpg,WalkingWithDog
v_BlowDryHair_g11_c06.avi_frame10.jpg,BlowDryHair
v_Surfing_g08_c04.avi_frame3.jpg,Surfing
v_UnevenBars_g11_c02.avi_frame3.jpg,UnevenBars
v_BalanceBeam_g10_c04.avi_frame4.jpg,BalanceBeam
v_Haircut_g13_c01.avi_frame0.jpg,Haircut
v_ApplyEyeMakeup_g09_c07.avi_frame2.jpg,ApplyEyeMakeup
v_BaseballPitch_g16_c03.avi_frame4.jpg,BaseballPitch
v_HorseRiding_g12_c03.avi_frame1.jpg,HorseRiding
v_WalkingWithDog_g11_c04.avi_frame6.jpg,WalkingWithDog
v_PlayingDaf_g18_c02.avi_frame9.jpg,PlayingDaf
v_PlayingCello_g15_c07.avi_frame5.jpg,PlayingCello
v_JumpRope_g12_c04.avi_frame10.jpg,JumpRope
v_Diving_g17_c04.avi_frame0.jpg,Diving
v_SoccerJuggling_g15_c04.avi_frame3.jpg,SoccerJuggling
v_WritingOnBoard_g09_c05.avi_frame0.jpg,WritingOnBoard
v_Nunchucks_g13_c01.avi_frame4.jpg,Nunchucks
v_Lunges_g11_c05.avi_frame2.jpg,Lunges
v_PizzaTossing_g15_c01.avi_frame3.jpg,PizzaTossing
v_Archery_g12_c03.avi_frame10.jpg,Archery
v_FrontCrawl_g09_c03.avi_frame2.jpg,FrontCrawl
v_Typing_g16_c04.avi_frame6.jpg,Typing
v_ApplyEyeMakeup_g11_c05.avi_frame6.jpg,ApplyEyeMakeup
v_SkyDiving_g16_c04.avi_frame8.jpg,SkyDiving
v_PlayingSitar_g08_c03.avi_frame22.jpg,PlayingSitar
v_HorseRace_g24_c04.avi_frame1.jpg,HorseRace
v_Basketball_g18_c01.avi_frame0.jpg,Basketball
v_Kayaking_g22_c01.avi_frame6.jpg,Kayaking
v_Punch_g21_c01.avi_frame1.jpg,Punch
v_ThrowDiscus_g21_c03.avi_frame1.jpg,ThrowDiscus
v_SoccerJuggling_g11_c04.avi_frame7.jpg,SoccerJuggling
v_PlayingDaf_g10_c02.avi_frame0.jpg,PlayingDaf
v_Nunchucks_g13_c05.avi_frame11.jpg,Nunchucks
v_Archery_g13_c07.avi_frame5.jpg,Archery
v_Skiing_g24_c03.avi_frame2.jpg,Skiing
v_SkyDiving_g20_c06.avi_frame0.jpg,SkyDiving
v_GolfSwing_g18_c05.avi_frame11.jpg,GolfSwing
v_Swing_g11_c06.avi_frame2.jpg,Swing
v_YoYo_g22_c04.avi_frame2.jpg,YoYo
v_Archery_g13_c04.avi_frame2.jpg,Archery
v_RockClimbingIndoor_g09_c02.avi_frame9.jpg,RockClimbingIndoor
v_PlayingCello_g22_c02.avi_frame4.jpg,PlayingCello
v_BoxingPunchingBag_g08_c07.avi_frame18.jpg,BoxingPunchingBag
v_Drumming_g25_c03.avi_frame9.jpg,Drumming
v_SkyDiving_g22_c03.avi_frame0.jpg,SkyDiving
v_Swing_g21_c01.avi_frame5.jpg,Swing
v_HammerThrow_g22_c03.avi_frame1.jpg,HammerThrow
v_Swing_g23_c02.avi_frame4.jpg,Swing
v_Drumming_g20_c05.avi_frame5.jpg,Drumming
v_PlayingSitar_g19_c01.avi_frame12.jpg,PlayingSitar
v_ThrowDiscus_g09_c05.avi_frame0.jpg,ThrowDiscus
v_RockClimbingIndoor_g24_c07.avi_frame17.jpg,RockClimbingIndoor
